,Model.farm_code,Model.farm_name,Model.examin_datetm,Model.avg_prbrd,Model.avg_lgdiamtr,Model.avg_frut_wt,Model.avg_flsh_wgh,Model.avg_flsh_rate,Model.avg_frsk_one,Model.avg_brx,Model.avg_prcn,Model.avg_brx_prcn_rate,과일
585,01,용흥,2021-10-01,54.9,46.6,74.2,62.9,84.7,1.9,8.1,1.2,6.8,감귤
586,01,용흥,2021-10-15,57.3,44.2,78.7,66.2,84.1,1.8,8.7,1.0,8.9,감귤
587,01,용흥,2021-11-01,60.4,45.5,89.3,73.5,82.3,2.2,9.5,0.9,10.3,감귤
588,01,용흥,2021-11-15,58.6,44.4,81.8,66.9,81.8,2.1,9.3,1.0,9.8,감귤
589,01,용흥,2021-11-25,59.4,46.8,86.6,69.5,80.3,2.4,10.1,0.9,11.0,감귤
590,02,성산,2021-08-01,41.7,37.4,34.6,23.8,68.7,3.2,6.5,3.2,2.1,감귤
591,02,성산,2021-08-15,43.2,39.6,38.9,27.7,71.0,3.1,6.7,2.8,2.4,감귤
592,02,성산,2021-09-01,47.7,42.8,53.3,42.7,80.0,2.1,6.8,1.8,3.8,감귤
593,02,성산,2021-09-15,52.6,44.5,65.1,53.1,81.6,2.2,7.0,1.4,5.2,감귤
594,02,성산,2021-10-01,55.4,47.1,79.2,66.7,84.2,2.0,7.5,1.0,7.5,감귤
595,02,성산,2021-10-15,56.5,48.7,83.6,70.2,83.9,1.8,8.3,0.8,10.3,감귤
596,02,성산,2021-11-01,59.8,48.8,92.9,76.3,82.2,2.4,8.9,0.8,11.1,감귤
597,02,성산,2021-11-15,60.4,51.2,98.5,80.2,81.3,2.4,9.4,0.9,11.2,감귤
598,02,성산,2021-11-25,62.5,49.0,99.6,80.0,80.2,2.7,9.9,0.8,12.1,감귤
599,04,토산,2021-08-01,44.7,41.8,42.2,29.2,69.1,3.3,6.4,3.1,2.0,감귤
600,04,토산,2021-08-15,46.1,42.5,45.8,33.6,73.3,3.0,6.4,2.8,2.2,감귤
601,04,토산,2021-09-01,51.9,46.7,66.3,53.1,80.0,2.3,6.4,1.6,4.0,감귤
602,04,토산,2021-09-15,55.8,49.5,79.9,65.4,81.9,2.1,6.4,1.3,4.9,감귤
603,04,토산,2021-10-01,58.4,48.3,88.0,73.5,83.5,2.1,6.7,0.9,7.8,감귤
604,04,토산,2021-10-15,61.5,52.2,101.9,84.5,82.9,2.0,7.3,0.8,9.8,감귤
605,04,토산,2021-11-01,63.8,49.6,105.3,86.3,81.9,2.3,7.8,0.8,10.5,감귤
606,04,토산,2021-11-15,63.0,48.9,102.9,83.6,81.2,2.5,7.4,0.8,9.6,감귤
607,04,토산,2021-11-25,63.0,50.2,105.5,85.2,80.8,2.4,8.3,0.8,11.3,감귤
608,06,아라,2021-08-01,42.5,39.8,35.6,23.6,66.2,3.4,6.7,3.4,2.0,감귤
609,06,아라,2021-08-15,45.9,41.4,45.0,32.1,71.1,3.2,7.1,3.1,2.3,감귤
610,06,아라,2021-09-01,51.5,45.4,61.9,48.1,77.5,2.5,7.1,2.0,3.5,감귤
611,06,아라,2021-09-15,56.2,46.5,75.6,60.3,79.7,2.5,7.4,1.6,4.8,감귤
612,06,아라,2021-10-01,59.1,48.6,87.1,71.0,81.4,2.3,7.7,1.1,7.0,감귤
613,06,아라,2021-10-15,62.3,50.5,101.3,81.3,80.2,2.4,8.5,0.9,9.2,감귤
614,06,아라,2021-11-01,64.1,50.1,108.3,85.4,78.8,2.5,9.0,0.9,10.6,감귤
615,06,아라,2021-11-15,63.1,52.3,103.9,81.9,78.7,2.6,9.6,0.9,10.9,감귤
616,07,무릉,2021-08-01,42.1,38.1,35.5,26.5,74.5,2.5,6.8,3.0,2.3,감귤
617,07,무릉,2021-08-15,43.7,39.4,40.2,31.2,77.6,2.2,7.3,2.6,2.8,감귤
618,07,무릉,2021-09-01,50.6,44.2,60.0,49.5,82.5,2.1,7.1,1.6,4.6,감귤
619,07,무릉,2021-09-15,53.7,47.0,70.4,58.7,83.3,2.0,7.4,1.2,6.1,감귤
