,상품명,한달판매량
733,황금사과 시나노골드 일반용 소과 5kg,
734,황금사과 시나노골드 일반용 중과 5kg,
735,황금사과 시나노골드 일반용 대과 5kg,
736,황금사과 시나노골드 일반용 소과 3kg,
737,황금사과 시나노골드 일반용 중과 3kg,
738,황금사과 시나노골드 일반용 대과 3kg,
739,황금사과 시나노골드 일반용 소과 2kg,
740,황금사과 시나노골드 일반용 중과 2kg,
741,[푸르젠] 국내산 단감 5kg 특대과 (10~19과),
742,[푸르젠] 국내산 단감 5kg 중과 (20~25과),
743,[푸르젠] 국내산 단감 5kg 소과 (26~35과),
744,[푸르젠] 국내산 단감 5kg 랜덤과,
745,영암 대봉 10kg(특과/26-30과),
746,영암 대봉 10kg(대과/31-35과),
747,영암 대봉 10kg(중과/36-40과),
748,COSTCO KIRKLAND 시그니쳐 냉동 블루베리 2.27kg USDA GRADE A,
749,[샵블리]가을 제철과일 단감 2kg내외/7-9입내외,
750,COSTCO 7D 건조 망고 400g(80g x 5개) 말린 망고 건과일,
751,충북 영동 노지 샤인머스캣 2kg 내외(2-3수),
752,COSTCO KIRKLAND 시그니쳐 홀드라이드 블루베리 567g 건조 블루베리,
753,식탐대첩 달콤한 나주배 10개 개당 420~600g,
754,식탐대첩 달콤함 나주배 5개 개당 420~600g,
755,골드키위 5kg 점보 33개내외,
756,골드키위 5kg 왕특 38개내외,
757,골드키위 3kg 점보 20개내외,
758,골드키위 3kg 왕특 23개내외,
759,골드키위 2kg 점보 13개내외,
760,골드키위 2kg 왕특 15개내외,
761,부사 세척사과 일반 한입 5kg,
762,부사 세척사과 일반 한입 3kg,
763,부사 세척사과 일반 대과 3kg,
764,부사 세척사과 일반 한입 2kg,
765,부사 세척사과 흠과 한입 5kg,
766,부사 세척사과 흠과 한입 3kg,
767,부사 세척사과 흠과 대과 3kg,
768,부사 세척사과 흠과 한입 2kg,
769,부사 주스용-혼합과 9kg내외,
770,부사 주스용-혼합과 6kg내외,
771,부사 일반용-한입 5kg,
772,부사 일반용-한입 3kg,
773,부사 일반용-한입 2kg,
774,부사 흠과-한입 3kg,
775,부사 흠과-한입 2kg,
776,식탐대첩 항공 페루 애플망고 8~10과내 (약4kg),
777,식탐대첩 항공 페루 애플망고 6~7과내 (약3kg),
778,식탐대첩 항공 페루 애플망고 4~6과내 (약2kg),
779,식탐대첩 항공 페루 애플망고 3~4과내 (약1.5kg),
780,[샵블리]전남나주 주스용 배 3kg(중/7~8과),
781,[샵블리]GAP인증 아삭아삭 경북 햇단감 2kg(중과/5과내외),
782,[샵블리]GAP인증 아삭아삭 경북 햇단감 3kg(중과/7과내외),
783,해풍맞고 자란 고흥 골드키위 대과 5kg 40-50과,
784,해풍맞고 자란 고흥 골드키위 특과 5kg 31-39과,
785,정원농장 국내산 가정용 기스과 부사 10kg이내/30-48과,
786,정원농장 국내산 가정용 기스과 부사 10kg이내/40-56과,
787,정원농장 국내산 가정용 기스과 부사 5kg이내/15-24과,5(1건)
788,정원농장 국내산 가정용 기스과 부사 5kg이내/20-28과,10개 구매
789,정아네식탁 제주 타이백 조생 감귤 2.5kg 꼬마,
790,정아네식탁 제주 타이백 조생 감귤 2.5kg 중대,
791,정아네식탁 제주 타이백 조생 감귤 2.5kg 로얄과,
792,정아네식탁 제주 타이백 조생 감귤 4.5kg 꼬마,
793,정아네식탁 제주 타이백 조생 감귤 4.5kg 중대,
794,정아네식탁 제주 타이백 조생 감귤 4.5kg 로얄과,
795,정아네식탁 제주 타이백 조생 감귤 9kg 꼬마,
796,정아네식탁 제주 타이백 조생 감귤 9kg 중대,
797,정아네식탁 제주 타이백 조생 감귤 9kg 로얄과,
798,COSTCO 청키 과카몰리 소스 1120g (70g x 16개입) 아보카도,
799,"[웰굿][산지직송] 하동 고당도 골드키위3kg(37-47개,중과)",
800,"[웰굿][산지직송] 하동 고당도 골드키위3kg(31-36개,대과)",
801,"[웰굿][산지직송] 하동 고당도 골드키위5kg(61-80개,중과)",
802,"[웰굿][산지직송] 하동 고당도 골드키위5kg(51-60개,대과)",
803,"[웰굿][산지직송] 하동 고당도 골드키위10kg(135과내외,중과)",
804,"[웰굿][산지직송] 하동 고당도 골드키위10kg(115과내외,중대과)",
805,"[웰굿][산지직송] 하동 고당도 골드키위10kg(105과내외,대과)",
806,"[웰굿][산지직송] 하동 고당도 골드키위2kg(21-25개,대과)",
807,정아네식탁 프리미엄 불로초 감귤 1.5kg (22-29개),
808,정아네식탁 새콤달콤 극조생 감귤 S-M 로얄과 5kg,
809,정아네식탁 충남 부여 햇 누드밤 500g,
810,정아네식탁 충남 부여 햇 누드밤 500gX2봉지,
811,정아네식탁 충남 부여 햇 누드밤 500gX3봉지,
812,정아네식탁 충남 부여 햇 누드밤 500ggX5봉지,
813,정아네식탁 충남 부여 햇 누드밤 500gX10봉지,
814,정아네식탁 충남 부여 햇 깐밤 500g,
815,정아네식탁 충남 부여 햇 깐밤 500gX2봉지,
816,정아네식탁 충남 부여 햇 깐밤 500gX3봉지,
817,정아네식탁 충남 부여 햇 깐밤 500ggX5봉지,
818,정아네식탁 충남 부여 햇 깐밤 500gX10봉지,
819,"[웰굿][산지직송] 하동 고당도 골드키위2kg(13과내외,점보)",
820,"[웰굿][산지직송] 하동 고당도 골드키위3kg(20과내외,점보)",
821,"[웰굿][산지직송] 하동 고당도 골드키위5kg(33과내외,점보)",
822,식탐대첩 충남 부여사랑 햇 깐밤 500gX10봉지,
823,식탐대첩 충남 부여사랑 햇 깐밤 500ggX5봉지,
824,식탐대첩 충남 부여사랑 햇 깐밤 500gX3봉지,
825,식탐대첩 충남 부여사랑 햇 깐밤 500gX2봉지,
826,식탐대첩 충남 부여사랑 햇 깐밤 500g,
827,식탐대첩 충남 부여사랑 햇 누드밤 500gX10봉지,
828,식탐대첩 충남 부여사랑 햇 누드밤 500gX5봉지,
829,식탐대첩 충남 부여사랑 햇 누드밤 500gX3봉지,
830,식탐대첩 충남 부여사랑 햇 누드밤 500gX2봉지,
831,식탐대첩 충남 부여사랑 햇 누드밤 500g,
832,[맛다름[[국내산] 제주 노지 감귤 5kg내외 (S~M 로얄사이즈),
833,[맛다름][국내산] 제주 노지 감귤 2kg내외 (S~M 로얄사이즈),
834,정아네식탁 달콤한 가정용 샤인머스켓 2kg 3~4수,
835,[가락시장 경매 식자재 과일][국내] 단감 10kg내외 41~46입내(L사이즈)/box,
836,[맛다름][국내산] 단감 5kg내외 20~23입내(L사이즈),
837,[가락시장 경매 식자재 과일][국내] 단감 10kg내외 47~53입내(M사이즈)/box,
838,[맛다름][국내산] 단감 5kg내외 23~26입내(M사이즈),
839,시나노골드 황금사과 4.5kg 실속-대과,
840,시나노골드 황금사과 4.5kg 실속-중과,
841,시나노골드 황금사과 4.5kg 실속-중소과,
842,시나노골드 황금사과 4.5kg 실속-소과,
843,시나노골드 황금사과 4.5kg 실속-한입,
844,시나노골드 황금사과 4.5kg 실속-꼬마,
845,시나노골드 황금사과 3kg 실속-대과,
846,시나노골드 황금사과 3kg 실속-중과,
847,시나노골드 황금사과 3kg 실속-중소과,
848,시나노골드 황금사과 3kg 실속-소과,
849,시나노골드 황금사과 3kg 실속-한입,
850,시나노골드 황금사과 3kg 실속-꼬마,
851,정아네식탁 프리미엄 부사 사과 3kg (9과내) 대과,
852,정아네식탁 프리미엄 부사 사과 3kg (10-11과) 중과,
853,정아네식탁 프리미엄 부사 사과 3kg (14-18과) 소과,
854,정아네식탁 프리미엄 부사 사과 5kg (11-13과) 특대과,
855,정아네식탁 프리미엄 부사 사과 5kg (14-16과) 대과,
856,정아네식탁 프리미엄 부사 사과 5kg (17-19과) 중과,
857,정아네식탁 프리미엄 부사 사과 5kg (23-30과) 소과,
858,정아네식탁 프리미엄 부사 사과 10kg (22-26과)특대과,
859,정아네식탁 프리미엄 부사 사과 10kg (28-30과) 대과,
860,정아네식탁 프리미엄 부사 사과 10kg (34-39과) 중과,
861,정아네식탁 프리미엄 부사 사과 10kg (46-60과) 소과,
862,정아네식탁 못난이 부사 사과 3kg (22-25과) 꼬마,
863,정아네식탁 못난이 부사 사과 3kg (18-21과) 한입,
864,정아네식탁 못난이 부사 사과 3kg (15-17과) 소과,
865,정아네식탁 못난이 부사 사과 3kg (13-14과) 간식,
866,정아네식탁 못난이 부사 사과 3kg (11-12과내) 중과,
867,정아네식탁 못난이 부사 사과 3kg (10과내) 대과,
868,정아네식탁 못난이 부사 사과 5kg (33-38과) 꼬마,
869,정아네식탁 못난이 부사 사과 5kg (29-32과) 한입,
870,정아네식탁 못난이 부사 사과 5kg (26-28과) 소과,
871,정아네식탁 못난이 부사 사과 5kg (23-25과) 간식,
872,정아네식탁 못난이 부사 사과 5kg (19-22과) 중과,
873,정아네식탁 못난이 부사 사과 5kg (18과내) 대과,
874,정아네식탁 못난이 부사 사과 9kg (56-65과) 꼬마,
875,정아네식탁 못난이 부사 사과 9kg (50-55과) 한입,
876,정아네식탁 못난이 부사 사과 9kg (45-49과) 소과,
877,정아네식탁 못난이 부사 사과 9kg (40-44과) 간식,
878,정아네식탁 못난이 부사 사과 9kg (30-35과) 중과,
879,정아네식탁 못난이 부사 사과 9kg (29과내) 대과,
880,경북 가정용 못난이 흠집 부사 사과 3kg(18-21과)한입,
881,경북 가정용 못난이 흠집 부사 사과 3kg(22-25과)꼬마,
882,경북 가정용 못난이 흠집 부사 사과 2kg (8과내) 대과,
883,경북 가정용 못난이 흠집 부사 사과 2kg (9과내) 중과,
884,경북 가정용 못난이 흠집 부사 사과 2kg(10과내) 간식,
885,경북 가정용 못난이 흠집 부사 사과 2kg(12과내) 소과,
886,경북 가정용 못난이 흠집 부사 사과 2kg(15과내) 꼬마,
887,식탐대첩 경북 정품 부사사과 10kg (46-60과)소과,
888,식탐대첩 경북 정품 부사사과 10kg (34-39과)중과,
889,식탐대첩 경북 정품 부사사과10kg (28-30과)대과,
890,식탐대첩 경북 정품 부사사과 5kg (23-30과)소과,
891,식탐대첩 경북 정품 부사사과 5kg (17-19과)중과,
892,식탐대첩 경북 정품 부사사과 5kg (14-16과)대과,
893,식탐대첩 경북 정품 부사사과5kg (11-13과)특대과,
894,식탐대첩 경북 정품 부사사과 3kg(14-18과) 소과,
895,식탐대첩 경북 정품 부사사과 3kg(10-11과) 중과,
896,식탐대첩 경북 정품 부사사과 3kg (9과내) 대과,
897,식탐대첩 경북 정품 부사사과 10kg (22-26과)특대과,
898,"제주 노지 햇 고당도 타이백 감귤 2S,S,M 혼합 10kg 조생 밀감 하우스",
899,"제주 노지 햇 고당도 타이백 감귤 2S,S,M 혼합 5kg 조생 밀감 하우스",
900,"제주 노지 햇 고당도 타이백 감귤 2S,S,M 혼합 3kg 조생 밀감 하우스",
901,[제주김농부]저탄소인증 당도보장 비가림 감귤 3kg(2S-M),
902,[제주김농부]저탄소인증 당도보장 비가림 감귤 5kg(2S-M),
903,"[웰굿][산지직송] GAP인증 제주 저농약 감귤 5kg(S-2S,로얄과,못난이)",
904,"[웰굿][산지직송] GAP인증 제주 저농약 감귤 10kg(S-2S,로얄과,못난이)",
905,"[웰굿][산지직송] GAP인증 제주 저농약 감귤 10kg(M,중과,못난이)",
906,"[웰굿][산지직송] GAP인증 제주 저농약 감귤 5kg(M,중과,못난이)",
907,COSTCO KIRKLAND 시그니쳐 냉동 딸기 2.72kg Grade A 아이스박스 발송,
908,식탐대첩 가정용 못난이 엔비사과 10kg 28-45과내,
909,식탐대첩 가정용 못난이 엔비사과 5kg 14-23과내,
910,식탐대첩 가정용 못난이 엔비사과 3kg 8-14과내,
911,식탐대첩 프리미엄 정품 엔비사과 10kg 30-36과내,
912,식탐대첩 프리미엄 정품 엔비사과 5kg 15-19과내,
913,식탐대첩 프리미엄 정품 엔비사과 3kg 9-11과내,
914,COSTCO 오션 스프레이 크레이즌 건조 크랜베리 1.36kg 건과일,
915,COSTCO KIRKLAND 시그니쳐 썬스위트 건자두 1.58kg,
916,단감 10kg 소과,
917,단감 5kg 소과,
918,밀양 단감 대 5kg 21-23과,
919,★(과일먹는곰) 밀양 단감 중 5kg 24-26과,
920,공주 정안 대보밤 특 2kg,
921,공주 정안 대보밤 대 2kg,
922,[올팜스]제주 레드키위 4kg (대과/36-50과내외),
923,[올팜스]제주 레드키위 4kg (중과/55-66과내외),
924,[올팜스]제주 레드키위 4kg (소과/66-80과내외),
925,[올팜스]제주 레드키위 2kg (대과/16-25과내외),
926,[올팜스]제주 레드키위 2kg (중과/28-32과내외),
927,[올팜스]제주 레드키위 2kg (소과/34-40과내외),
928,[올팜스]청도 햇반건시 프리미엄 명품8호(1.7kg미만/26개),
929,[올팜스]청도 햇반건시 프리미엄 명품3호(2.3kg미만/36개),
930,[제주김농부]제주 그린키위세트(2.2kg내외/18과),
931,[제주김농부]프리미엄 제주 한라봉세트(5kg/13~18수),
932,[제주김농부]프리미엄 제주 레드봉세트(5kg/13~18수),
933,[제주김농부]실속 제주 한라봉세트 1호(3kg/7~10수),
934,[제주김농부]실속 제주 한라봉세트 2호(3kg/11~13수),
935,[제주김농부]실속 제주 레드향세트(3kg/8~13수),
936,[제주김농부]실속 제주 레드봉세트(3kg/8~13수),
937,[올팜스]프리미엄 사과배혼합세트1호 (6kg/사과6과+배6과),
938,[올팜스]프리미엄 사과배혼합세트2호 (6.2kg/사과4과+배8과),
939,[올팜스]프리미엄 과일혼합 VIP1호 (4kg/사과3과+배3과+애플망고2과+샤인2수),
940,[올팜스]실속 사과배혼합세트1호 (4.2kg/사과5과+배4과),
941,[올팜스]실속 사과배혼합세트2호 (4.5kg/사과3과+배6과),
942,[올팜스]실속 과일혼합세트2호 (2.8kg/사과4과+배3과+샤인1수),
943,[올팜스]실속 샤인애플세트 (2.8kg/사과5과+샤인2수),
944,[올팜스]프리미엄 과일혼합세트5호(4kg/사과2과+배2과+한라봉4과+샤인머스켓2수),
945,[올팜스]실속 과일혼합세트6호(3kg/사과2과+배2과+한라봉3과+샤인머스켓1수),
946,[올팜스]프리미엄 나주배세트 (7.5kg/12과),
947,[올팜스]실속 나주배세트 (5kg/9과),
948,[올팜스]프리미엄 사과세트 (4.5kg/12과),
949,[올팜스]실속 사과세트 (3kg/9과),
950,[올팜스]명품 봉화사과세트1호 (5kg/15-16수),
951,[올팜스]명품 봉화사과세트2호 (5kg/17-19수),
952,2023년 햇밤 광양 백운산 알밤 2kg(특대),
953,2023년 햇밤 광양 백운산 알밤 2kg(대),
954,2023년 햇밤 광양 백운산 알밤 2kg(중),
955,단감 10kg 특대과,
956,단감 10kg 대과,
957,단감 10kg 중대과,
958,단감 10kg 중과,
959,단감 10kg 중소과,
960,단감 5kg 특대과,
961,단감 5kg 대과,
962,단감 5kg 중대과,
963,단감 5kg 중과,
964,단감 5kg 중소과,
965,[참다올] 아삭달콤한 제철 제주감귤 1kg,
966,[참다올] 아삭달콤한 제철 제주감귤 5kg (S-M),
967,[참다올] 아삭달콤한 제철 제주감귤 5kg (L-2L),
968,[참다올] 아삭달콤한 제철 제주감귤 5kg (2s-s),
969,[참다올] 아삭달콤한 제철 햇단감 2kg 7-9개,
970,[참다올] 아삭달콤한 제철 햇단감 2kg 10-11개,
971,[참다올] 아삭달콤한 제철 햇단감 2kg 12-14개,
972,[웰굿][산지직송] GAP인증 충남 공주 정안 대보밤 2kg(특),
973,[웰굿][산지직송] GAP인증 충남 공주 정안 대보밤 4kg(특),
974,"[웰굿]프리미엄 발렌시아 오렌지 20과(개당270g내외,특대)",1(1건)
975,"[웰굿]프리미엄 발렌시아 오렌지 10과(개당270g내외,특대)",
976,"[웰굿]프리미엄 발렌시아 오렌지 20과(개당230g내외,대)",
977,"[웰굿]프리미엄 발렌시아 오렌지 10과(개당230g내외,대)",
978,"[웰굿]프리미엄 발렌시아 오렌지 20과(개당200g내외,중)",
979,"[웰굿]프리미엄 발렌시아 오렌지 10과(개당200g내외,중)",
980,[웰굿]프리미엄 신선하고 달콤한 생 석류 5kg(9-15과),
981,[웰굿]프리미엄 신선하고 달콤한 생 석류 2.5kg(5-8과),
982,"[웰굿]제주 고당도 레드키위 5kg(45-55과,특대과)",
983,"[웰굿]제주 고당도 레드키위 5kg(52-67과,대과)",
984,"[웰굿]제주 고당도 레드키위 5kg(66-78과,중과)",
985,"[웰굿]제주 고당도 레드키위 5kg(76-91과,소과)",
986,"[웰굿]제주 고당도 레드키위 3kg(27-33과,특대과)",
987,"[웰굿]제주 고당도 레드키위 3kg(31-41과,대과)",
988,"[웰굿]제주 고당도 레드키위 3kg(39-48과,중과)",
989,"[웰굿]제주 고당도 레드키위 3kg(45-55과,소과)",
990,"[웰굿]제주 고당도 레드키위 1kg(9-11과,특대과)",
991,"[웰굿]제주 고당도 레드키위 1kg(10-14과,대과)",
992,"[웰굿]제주 고당도 레드키위 1kg(13-16과,중과)",
993,"[웰굿]제주 고당도 레드키위 1kg(15-18과,소과)",
994,[웰굿]국내산 달콤시원한 머스크 멜론 3수(개당2kg내외),
995,제주 노지 햇 감귤 노지감귤 SM 로얄과 10kg 조생 밀감 하우스,
996,제주 노지 햇 감귤 SM 로얄과 5kg 조생 밀감 하우스,
997,제주 노지 햇 감귤 2S 소과 5kg 조생 밀감 하우스,
998,제주 노지 햇 감귤 노지감귤 2S 소과 10kg 조생 밀감 하우스,
999,"제주 노지 햇 감귤 노지감귤 2S,S,M 혼합 3kg 조생 밀감 하우스",
1000,[착한식탁]아삭아삭 국내산 단감 5kg 대과 (특품),
1001,[착한식탁]아삭아삭 국내산 단감 5kg (20-25과 중대과),
1002,영암 대봉감 10kg(특과/26-30과),
1003,영암 대봉감 10kg(대과/31-35과),
1004,영암 대봉감 10kg(중과/36-40과),
1005,영암 대봉감 4.5kg(특과/12-13과),
1006,영암 대봉감 4.5kg(대과/14-15과),
1007,영암 대봉감 4.5kg(중과/16-18과),
1008,자연에서바로 18브릭스이상 고당도 샤인머스켓 망고포도 2kg(3수),
1009,[샵블리]GAP인증 아삭아삭 경북 햇단감 2kg(소과/12과내외),
1010,[샵블리][산지직송] 2023년 공주햇밤 알밤 2kg(대),11개 구매
1011,[샵블리][산지직송] 2023년 공주햇밤 알밤 4kg(대),
1012,식탐대첩 국내산 신고 알뜰배 5kg 5-10과,
1013,[정품]시나노골드 3kg(중대과/9-11과),
1014,[정품]시나노골드 3kg(중소과/12-15과),
1015,[정품]시나노골드 3kg(소과/16-21과),
1016,[정품]시나노골드 2kg(중대과/6-7과),
1017,[정품]시나노골드 2kg(중소과/8-10과),
1018,[정품]시나노골드 2kg(소과/11-13과),
1019,국내산 제주 산지직송 제철과일 고당도 레드키위 중대 25과 전후 2kg,
1020,국내산 제주 산지직송 제철과일 고당도 레드키위 중대 35과 전후 3kg,
1021,국내산 제주 산지직송 제철과일 고당도 레드키위 중대 65과 전후 5kg,
1022,정아네식탁 국내산 달콤 레드키위 8과 중과 (90g내외),
1023,정아네식탁 국내산 달콤 레드키위 16과 중과(90g내외),
1024,정아네식탁 국내산 달콤 레드키위 32과 중과(90g내외),
1025,정아네식탁 국내산 달콤 레드키위 58과 중과(90g내외),
1026,정아네식탁 국내산 달콤 레드키위 115과중과(90g내외),
1027,정아네식탁 국내산 달콤 레드키위 10과 소과(80g내외),
1028,정아네식탁 국내산 달콤 레드키위 24과 소과(80g내외),
1029,정아네식탁 국내산 달콤 레드키위 36과 소과(80g내외),
1030,정아네식탁 국내산 달콤 레드키위 48과 소과(80g내외),
1031,정아네식탁 국내산 달콤 레드키위 80과 소과(80g내외),
1032,정아네식탁 국내산 달콤 레드키위 135과소과(80g내외),
1033,정아네식탁 산지직송 신선 김천 배 3kg 4-6과 특,
1034,정아네식탁 산지직송 신선 김천 배 5kg 8-14과 특,
1035,정아네식탁 산지직송 신선 김천 배 15kg 18-35과 특,
1036,정아네식탁 Dole 돌 바나나 1송이 약1.3kg내외,
1037,정아네식탁 Dole 돌 바나나 2송이 약2.6kg내외,
1038,정아네식탁 Dole 돌 바나나 3송이 약3.9kg내외,
1039,정아네식탁 Dole 돌 바나나 4송이 약5.2kg내외,
1040,정아네식탁 Dole 돌 바나나 6송이 약7.8kg내외,
1041,정아네식탁 Dole 돌 바나나 10송이 약13kg내외,
1042,정아네식탁 충남 부여 햇 알밤 특1kg,
1043,정아네식탁 충남 부여 햇 알밤 특1kg 2봉지,
1044,정아네식탁 충남 부여 햇 알밤 특1kg 3봉지,
1045,정아네식탁 충남 부여 햇 알밤 특1kg 5봉지,
1046,정아네식탁 충남 부여 햇 알밤 특1kg 10봉지,
1047,정아네식탁 충남 부여 햇 알밤 대1kg,
1048,정아네식탁 충남 부여 햇 알밤 대1kg 2봉지,
1049,정아네식탁 충남 부여 햇 알밤 대1kg 3봉지,
1050,정아네식탁 충남 부여 햇 알밤 대1kg 5봉지,
1051,정아네식탁 충남 부여 햇 알밤 대1kg 10봉지,
1052,정아네식탁 아보카도 중과 1과 (개당170g내외),
1053,정아네식탁 아보카도 중과 850g 5과 (개당170g내외),
1054,정아네식탁 아보카도 중과 1.7kg 10과 (개당170g내외),
1055,정아네식탁 아보카도 중과 2.5kg 15과 (개당170g내외),
1056,정아네식탁 아보카도 중과 3.4kg 20과 (개당170g내외),
1057,정아네식탁 제주 새콤달콤 황금향 가정용 2kg 소과,
1058,정아네식탁 제주 새콤달콤 황금향 가정용 2kg 로얄과,
1059,정아네식탁 제주 새콤달콤 황금향 가정용 2kg 대과,
1060,정아네식탁 제주 새콤달콤 황금향 가정용 3kg 소과,
1061,정아네식탁 제주 새콤달콤 황금향 가정용 3kg 로얄과,
1062,정아네식탁 제주 새콤달콤 황금향 가정용 3kg 대과,
1063,정아네식탁 제주 새콤달콤 황금향 가정용 5kg 소과,
1064,정아네식탁 제주 새콤달콤 황금향 가정용 5kg 로얄과,
1065,정아네식탁 제주 새콤달콤 황금향 가정용 5kg 대과,
1066,정아네식탁 제주 하우스 감귤 가정용 2kg 소과,
1067,정아네식탁 제주 하우스 감귤 가정용 2kg 로얄과,
1068,정아네식탁 제주 하우스 감귤 가정용 2kg 대과,
1069,정아네식탁 제주 하우스 감귤 가정용 3kg 소과,
1070,정아네식탁 제주 하우스 감귤 가정용 3kg 로얄과,
1071,정아네식탁 제주 하우스 감귤 가정용 3kg 대과,
1072,정아네식탁 제주 하우스 감귤 가정용 5kg 소과,
1073,정아네식탁 제주 하우스 감귤 가정용 5kg 로얄과,
1074,정아네식탁 제주 하우스 감귤 가정용 5kg 대과,
1075,정아네식탁 상큼한 팬시레몬 10개 (개당 100g내외),
1076,정아네식탁 상큼한 팬시레몬 20개 (개당 100g내외),
1077,정아네식탁 상큼한 팬시레몬 25개 (개당 100g내외),
1078,정아네식탁 상큼한 팬시레몬 30개 (개당 100g내외),
1079,정아네식탁 상큼한 팬시레몬 40개 (개당 100g내외),
1080,정아네식탁 상큼한 팬시레몬 60개 (개당 100g내외),
1081,정아네식탁 상큼한 팬시레몬 100개 (개당 100g내외),
1082,정아네식탁 상큼한 팬시레몬 165개 (개당 100g내외),
1083,정아네식탁 달콤한과즙 파인애플 1개(개당1kg내외),
1084,정아네식탁 달콤한과즙 파인애플 4개(개당1kg내외),
1085,정아네식탁 달콤한과즙 파인애플 5개(개당1kg내외),
1086,정아네식탁 달콤한과즙 파인애플 12개(개당1kg내외),
1087,정아네식탁 달콤한과즙 파인애플 1개(개당1.2kg내외),
1088,정아네식탁 달콤한과즙 파인애플 4개(개당1.2kg내외),
1089,정아네식탁 달콤한과즙 파인애플 5개(개당1.2kg내외),
1090,정아네식탁 달콤한과즙 파인애플 10개(개당1.2kg내외),
1091,정아네식탁 달콤 아삭한 씨없는 애플청포도 1kg,
1092,정아네식탁 달콤 아삭한 씨없는 애플청포도 2kg,
1093,정아네식탁 달콤 아삭한 씨없는 애플청포도 4kg,
1094,정아네식탁 달콤한 델몬트 바나나 1.3kg내외(1송이),
1095,정아네식탁 달콤한 델몬트 바나나 2.6kg내외(2송이),
1096,정아네식탁 달콤한 델몬트 바나나 5.2kg내외(4송이),
1097,정아네식탁 달콤한 델몬트 바나나 7.8kg내외(6송이),
1098,정아네식탁 달콤 델몬트 바나나 15.6kg내외(12송이),
1099,정아네식탁 새콤달콤 네이블 오렌지 중과 5개,
1100,정아네식탁 새콤달콤 네이블 오렌지 중과 10개,
1101,정아네식탁 새콤달콤 네이블 오렌지 중과 15개,
1102,정아네식탁 새콤달콤 네이블 오렌지 중과 20개,
1103,정아네식탁 새콤달콤 네이블 오렌지 중과 30개,
1104,정아네식탁 새콤달콤 네이블 오렌지 중과 40개,
1105,정아네식탁 새콤달콤 네이블 오렌지 중과 88개,
1106,정아네식탁 새콤달콤 붉은 석류 3과 약1kg,
1107,정아네식탁 새콤달콤 붉은 석류 5과 약1.6kg,
1108,정아네식탁 새콤달콤 붉은 석류 8과 약2.6kg,
1109,정아네식탁 새콤달콤 붉은 석류 10과 약3.3kg,
1110,정아네식탁 새콤달콤 붉은 석류 12과 약4kg,
1111,정아네식탁 새콤달콤 붉은 석류 15과 약5kg,
1112,[자연예서] 프리미엄 신고배 선물세트 7.5kg 명절선물,
1113,[자연예서] 프리미엄 신고 배 15kg(26-30과) 신고배,
1114,"[웰굿][산지직송] 경북 시나노골드 사과 2.5kg(7과내,가정용대과)",
1115,"[웰굿][산지직송] 경북 시나노골드 사과 2.5kg(12과내,가정용중소과)",
1116,"[웰굿][산지직송] 경북 시나노골드 사과 3kg(9과내,가정용대과)",
1117,"[웰굿][산지직송] 경북 시나노골드 사과 3kg(14과내,가정용중소과)",
1118,"[웰굿][산지직송] 경북 시나노골드 사과 5kg(17과내,가정용대과)",
1119,"[웰굿][산지직송] 경북 시나노골드 사과 5kg(18-22과,가정용중소과)",
1120,"[웰굿][GAP저탄소인증][산지직송] 시원한 나주배 7.5kg(12-13과,가정용)",
1121,"[웰굿][GAP저탄소인증][산지직송] 시원한 나주배 5kg(8-9과,가정용)",
1122,식탐대첩 제주 서귀포 타이백 조생귤 9kg 로얄과,
1123,식탐대첩 제주 서귀포 타이백 조생귤 9kg 중대,
1124,식탐대첩 제주 서귀포 타이백 조생귤 4.5kg 로얄과,
1125,식탐대첩 제주 서귀포 타이백 조생귤 4.5kg 중대,
1126,식탐대첩 제주 서귀포 타이백 조생귤 2.5kg 로얄과,
1127,식탐대첩 제주 서귀포 타이백 조생귤 2.5kg 중대,
1128,식탐대첩 제주 서귀포 노지 조생귤 9kg 로얄과,
1129,식탐대첩 제주 서귀포 노지 조생귤 9kg 중대,
1130,식탐대첩 제주 서귀포 노지 조생귤 4.5kg 로얄과,
1131,식탐대첩 제주 서귀포 노지 조생귤 4.5kg 중대,
1132,식탐대첩 제주 서귀포 노지 조생귤 2.5kg 로얄과,
1133,식탐대첩 제주 서귀포 노지 조생귤 2.5kg 중대,
1134,유기농 청귤칩 50g 5팩,
1135,유기농 청귤칩 50g 4팩,
1136,유기농 청귤칩 50g 3팩,
1137,유기농 청귤칩 50g 2팩,
1138,제주사랑 체험농장 서귀포 노지 조생감귤 10kg 로얄과,
1139,제주사랑 체험농장 서귀포 노지 조생감귤 5kg 로얄과,
1140,제주사랑 체험농장 서귀포 노지 조생감귤 3kg 로얄과,
1141,제주 조생감귤 산지직송 극조생감귤 9kg 소과,
1142,제주 조생감귤 산지직송 극조생감귤 9kg 로얄소과,
1143,제주 조생감귤 산지직송 극조생감귤 9kg 로얄과,
1144,제주 조생감귤 산지직송 극조생감귤 9kg 중대과,
1145,제주 조생감귤 산지직송 극조생감귤 9kg 대과,
1146,제주 조생감귤 산지직송 극조생감귤 4.5kg 소과,
1147,제주 조생감귤 산지직송 극조생감귤 4.5kg 로얄소과,
1148,제주 조생감귤 산지직송 극조생감귤 4.5kg 로얄과,
1149,제주 조생감귤 산지직송 극조생감귤 4.5kg 중대과,
