,상품명,한달판매량
103,델몬트 화이트용과 400G(팩),월 424개 구매
104,식탐대첩 제주 서귀포 노지 조생감귤 10kg 대과,
105,원컵 파인애플 150G(팩),월 159개 구매
106,원컵 뷰티(사과/적포도/방울)150G(팩),월 158개 구매
107,대추야자 500G(봉),월 93개 구매
108,동우 건 블루베리 400G(봉),월 132개 구매
109,동결건조 국산 딸기칩 20G(봉),월 130개 구매
110,[착한식탁]조생감귤 9kg 대과(L-2L),120개 구매
111,홈플러스시그니처 냉동수박 1KG,월 120개 구매
112,가을제철 가정용 햇 단감 2kg (10-12과/중과),156개 구매
113,원컵 헬스(사과/청/적포도) 150G(팩),월 109개 구매
114,홈플러스시그니처 냉동샤인머스캣 500G,월 23개 구매
115,Dole 용과(2입) 팩,월 272개 구매
116,Dole 후룻컵 복숭아 198G,월 327개 구매
117,Dole 후룻볼 트로피칼 113G*4,월 45개 구매
118,제주 감귤 3kg(2S/소과),
119,[착한식탁]조생감귤 9kg 로얄과(S-M),31개 구매
120,[GAP인증] 스테비아 대추 방울토마토 2kg(500g*4팩),59개 구매
121,[설빙] 망고를 그대로얼린 프리미엄 망고스틱 60gX10개,28개 구매
122,원컵 샤인사과 150G(팩),월 124개 구매
123,국내산 고구마말랭이100G(봉),월 97개 구매
124,이룸 냉동 파인애플 500G,월 181개 구매
125,Dole 후룻볼 망고 113G*4,월 99개 구매
126,망고수박(통),월 102개 구매
127,Dole 후룻컵 망고 198G,월 81개 구매
128,꿀 먹은 홍삼 말랭이 40G (봉),월 78개 구매
129,Dole 후룻바틀 망고 666G,월 51개 구매
130,가을제철 가정용 햇 단감 5kg (26-30과/중과),
131,대봉감 대봉시 중대과 2.5kg(8~10과내외),
132,국내산 무농약 섬바나나 2kg,
133,우박 못난이 부사 사과 쥬스용 9kg,
134,우박 못난이 부사 사과 꼬마과 19-21과 3kg,
135,식탐대첩 국내산 그린키위 중과 40과 개당85g내외,
136,대추 방울 토마토 2kg,
137,경북 영주 해나리 시나노 골드사과 못난이 2.5Kg(6~14과내외)/노란사과 황금사과 꿀사,
138,[산지직송][산들네] 시나노골드 황금사과 5kg 22과 내외,
139,[과일愛]오늘의 과일 단감 600g,
140,노지감귤 중대과 10kg,
141,[샵블리]쌉쌀 달콤 레드 자몽 5개/개당400g내외,
142,"[웰굿][GAP저탄소] 나주배 선물세트 5kg(8-9과,대과)",
143,[웰굿]국내산 달콤시원한 머스크 멜론 2수(개당2kg내외),
144,정아네식탁 달콤한 델몬트 바나나 3.9kg내외(3송이),
145,[정품] 고당도 샤인머스켓 1kg(2송이),
146,[착한식탁]털복숭아 4kg 랜덤과,38개 구매
147,[산지직송] 기분좋은 달콤함 스테비아 완숙찰토마토 1kg,
